description,label
Slow-speed rear-end hit at Delhi-Jaipur Highway toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Major accident on Pune-Bangalore Highway. Bus overturned carrying 22 passengers. Multiple casualties reported.,Highly Critical
"Fatal accident on Kolkata-Delhi Highway. Vehicle caught fire after collision. 23 dead, 8 people trapped.",Highly Critical
High-speed bike crash into crowd on Hosur Road. 25 bystanders injured. Rider critically hurt and unconscious.,Highly Critical
"Two-wheeler slipped on wet Outer Ring Road. Rider wearing helmet, has minor bruises. Bike has cosmetic damage.",Moderate
Food delivery bike slipped on Airport Road. Rider okay with helmet. Food spillage only. No traffic disruption.,Moderate
Construction crane collapsed on Yamuna Expressway crushing 8 vehicles. 15 workers and drivers trapped.,Highly Critical
Car stalled and was lightly bumped from behind on Airport Road. No injuries. Mechanic called for tow.,Moderate
"Fatal accident on Station Road. Vehicle caught fire after collision. 7 dead, 1 people trapped.",Highly Critical
Slow-speed rear-end hit at Nagpur-Hyderabad Highway toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
High-speed bike crash into crowd on NH44. 19 bystanders injured. Rider critically hurt and unconscious.,Highly Critical
Cement mixer overturned on Agra-Lucknow Expressway landing on a car. 8 people crushed. Heavy crane needed to lift.,Highly Critical
Branch scratch on car roof on Ahmedabad-Vadodara Expressway. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Major chemical spill from truck on Agra-Lucknow Expressway. Toxic fumes spreading. 24 people experiencing breathing difficulties.,Highly Critical
Truck side-view mirror hit signboard on Mumbai-Pune Expressway. Mirror cracked. No other damage. Driver continued.,Moderate
Severe accident on NH7. Vehicle rolled over multiple times. Passengers ejected. 17 in critical state.,Highly Critical
Small accident on Hosur Road. Rear-end collision at traffic signal. Minor damage to bumpers. Drivers exchanging details.,Moderate
Minor accident at parking garage at Hospital Zone. Scraped pillar while turning. No other vehicle involved.,Moderate
Side mirror clipped on narrow Chennai-Bangalore Highway. Minor glass breakage. No injuries. Both parties cooperating.,Moderate
Head-on collision between truck and car on Mumbai-Pune Expressway. 22 critically injured. Fuel leaking from tanker.,Highly Critical
Car stalled and was lightly bumped from behind on Airport Road. No injuries. Mechanic called for tow.,Moderate
Ambulance carrying patients crashed on Agra-Lucknow Expressway. 19 people now critical. Both original and new patients affected.,Highly Critical
"Hit and run on Yamuna Expressway. Victim dragged 1000 meters. Critical injuries, massive internal bleeding.",Highly Critical
Multi-car collision in tunnel on Pune-Bangalore Highway. Fire and smoke filling tunnel. 24 people unconscious from smoke.,Highly Critical
Minor accident at parking garage at Shopping Complex. Scraped pillar while turning. No other vehicle involved.,Moderate
Derailed train blocking Western Express Highway. 24 passengers injured. Multiple carriages overturned. Rescue ops started.,Highly Critical
Tree branch fell on parked car at NH7. Windshield cracked. No one inside. Owner filing insurance.,Moderate
"School bus accident on Bypass Road. Children trapped inside overturned bus. 16 injuries, parents rushing to scene.",Highly Critical
Vehicle rolled backward slightly on Delhi-Jaipur Highway slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Truck side-view mirror hit signboard on Bypass Road. Mirror cracked. No other damage. Driver continued.,Moderate
"Low-speed collision in traffic jam on Kolkata-Delhi Highway. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Minor accident at parking garage at Tech Park. Scraped pillar while turning. No other vehicle involved.,Moderate
Truck side-view mirror hit signboard on Western Express Highway. Mirror cracked. No other damage. Driver continued.,Moderate
Vehicle hit a stray dog on Eastern Express Highway. Minor bumper damage. Animal ran away. Driver stopped to check.,Moderate
Car went over speed bump too fast on Station Road. Scraping sound underneath. No collision. Car seems fine.,Moderate
Massive pile-up involving 7 vehicles on Nagpur-Hyderabad Highway. Visibility was poor. Emergency services needed urgently.,Highly Critical
"School bus accident on Delhi-Jaipur Highway. Children trapped inside overturned bus. 3 injuries, parents rushing to scene.",Highly Critical
Side mirror clipped on narrow Outer Ring Road. Minor glass breakage. No injuries. Both parties cooperating.,Moderate
Drunk driver crashed into bus stop on Yamuna Expressway. 19 people killed. Several more in critical condition.,Highly Critical
Water tanker brushed against parked car on Yamuna Expressway. Side panel scratch. No occupants in parked car.,Moderate
"Two-wheeler slipped on wet NH48. Rider wearing helmet, has minor bruises. Bike has cosmetic damage.",Moderate
Gas tanker explosion on Nagpur-Hyderabad Highway. Massive fire engulfing nearby vehicles. 5 feared dead. Evacuation underway.,Highly Critical
Minor collision at GT Road intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
Electric scooter tipped over on Pune-Bangalore Highway. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Car stalled and was lightly bumped from behind on Ahmedabad-Vadodara Expressway. No injuries. Mechanic called for tow.,Moderate
Parking lot accident at City Mall. Car reversed into another vehicle. Paint scratches only. No injuries.,Moderate
Ambulance carrying patients crashed on Industrial Area Road. 11 people now critical. Both original and new patients affected.,Highly Critical
Tree branch fell on parked car at NH44. Windshield cracked. No one inside. Owner filing insurance.,Moderate
Truck side-view mirror hit signboard on Chennai-Bangalore Highway. Mirror cracked. No other damage. Driver continued.,Moderate
Water tanker brushed against parked car on Agra-Lucknow Expressway. Side panel scratch. No occupants in parked car.,Moderate
Electrical pole fell on vehicles on Pune-Bangalore Highway after accident. Live wires on ground. 22 electrocuted.,Highly Critical
Cement mixer overturned on Nagpur-Hyderabad Highway landing on a car. 17 people crushed. Heavy crane needed to lift.,Highly Critical
Pothole caused tire burst on Kolkata-Delhi Highway. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Severe accident on Airport Road. Vehicle rolled over multiple times. Passengers ejected. 6 in critical state.,Highly Critical
Electric scooter tipped over on Ring Road. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Bike skidded on Kolkata-Delhi Highway due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
Drunk driver crashed into bus stop on Nagpur-Hyderabad Highway. 10 people killed. Several more in critical condition.,Highly Critical
Minor collision at NH7 intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
"School bus accident on Ring Road. Children trapped inside overturned bus. 13 injuries, parents rushing to scene.",Highly Critical
Parking lot accident at Commercial District. Car reversed into another vehicle. Paint scratches only. No injuries.,Moderate
Electric scooter tipped over on Nagpur-Hyderabad Highway. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Truck side-view mirror hit signboard on Western Express Highway. Mirror cracked. No other damage. Driver continued.,Moderate
Minor bump between school van and wall at Tech Park. No children on board. Driver is fine.,Moderate
Minor accident at parking garage at Commercial District. Scraped pillar while turning. No other vehicle involved.,Moderate
Severe accident on NH7. Vehicle rolled over multiple times. Passengers ejected. 22 in critical state.,Highly Critical
"High-speed collision on Bypass Road. Car crushed under truck. 7 people severely injured, immediate rescue needed.",Highly Critical
Food delivery bike slipped on Hosur Road. Rider okay with helmet. Food spillage only. No traffic disruption.,Moderate
"Stampede triggered by accident on Pune-Bangalore Highway. 20 people trampled. Chaos at scene, crowd control needed.",Highly Critical
"Low-speed collision in traffic jam on Station Road. Bumper to bumper touch. No injuries, minimal damage.",Moderate
"Low-speed collision in traffic jam on Ring Road. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Bridge collapse on Pune-Bangalore Highway due to heavy vehicle overload. Multiple vehicles fallen. 18 people trapped below.,Highly Critical
Drunk driver crashed into bus stop on Outer Ring Road. 25 people killed. Several more in critical condition.,Highly Critical
"Low-speed collision in traffic jam on NH48. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Electric scooter tipped over on NH7. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Pothole caused tire burst on Airport Road. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Electrical pole fell on vehicles on Eastern Express Highway after accident. Live wires on ground. 19 electrocuted.,Highly Critical
Vehicle rolled backward slightly on Western Express Highway slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Major chemical spill from truck on Ahmedabad-Vadodara Expressway. Toxic fumes spreading. 14 people experiencing breathing difficulties.,Highly Critical
Bus grazed a bollard on Station Road. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
Truck side-view mirror hit signboard on Kolkata-Delhi Highway. Mirror cracked. No other damage. Driver continued.,Moderate
Gas tanker explosion on Delhi-Jaipur Highway. Massive fire engulfing nearby vehicles. 14 feared dead. Evacuation underway.,Highly Critical
Branch scratch on car roof on Kolkata-Delhi Highway. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Oil tanker fire on Kolkata-Delhi Highway. Thick black smoke visible for miles. 25 firefighters also injured in rescue.,Highly Critical
Drunk driver crashed into bus stop on Agra-Lucknow Expressway. 8 people killed. Several more in critical condition.,Highly Critical
Massive pile-up involving 13 vehicles on Delhi-Jaipur Highway. Visibility was poor. Emergency services needed urgently.,Highly Critical
Tree branch fell on parked car at Mumbai-Pune Expressway. Windshield cracked. No one inside. Owner filing insurance.,Moderate
Vehicle hit a stray dog on Outer Ring Road. Minor bumper damage. Animal ran away. Driver stopped to check.,Moderate
Branch scratch on car roof on Yamuna Expressway. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Multi-car collision in tunnel on Agra-Lucknow Expressway. Fire and smoke filling tunnel. 11 people unconscious from smoke.,Highly Critical
Multi-car collision in tunnel on Delhi-Jaipur Highway. Fire and smoke filling tunnel. 9 people unconscious from smoke.,Highly Critical
"Two buses collided head-on at Kolkata-Delhi Highway. 42 passengers on board. Massive casualties, ambulances needed.",Highly Critical
Bridge collapse on Chennai-Bangalore Highway due to heavy vehicle overload. Multiple vehicles fallen. 17 people trapped below.,Highly Critical
Multi-car collision in tunnel on Noida Expressway. Fire and smoke filling tunnel. 25 people unconscious from smoke.,Highly Critical
Major chemical spill from truck on NH7. Toxic fumes spreading. 5 people experiencing breathing difficulties.,Highly Critical
Cyclist fell after hitting pothole on Kolkata-Delhi Highway. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
Bus grazed a bollard on Noida Expressway. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
Massive pile-up involving 8 vehicles on Ahmedabad-Vadodara Expressway. Visibility was poor. Emergency services needed urgently.,Highly Critical
Motorcycle slid on gravel on Chennai-Bangalore Highway. Rider has road rash on arm. Helmet saved head. Rider walking.,Moderate
Small accident on Kolkata-Delhi Highway. Rear-end collision at traffic signal. Minor damage to bumpers. Drivers exchanging details.,Moderate
Minor bump between school van and wall at University Campus. No children on board. Driver is fine.,Moderate
Water tanker brushed against parked car on Kolkata-Delhi Highway. Side panel scratch. No occupants in parked car.,Moderate
Bridge collapse on Industrial Area Road due to heavy vehicle overload. Multiple vehicles fallen. 9 people trapped below.,Highly Critical
Bridge collapse on Hosur Road due to heavy vehicle overload. Multiple vehicles fallen. 20 people trapped below.,Highly Critical
Car plunged off Outer Ring Road into river below. 16 occupants. Divers needed for underwater rescue operation.,Highly Critical
Major accident on Noida Expressway. Bus overturned carrying 24 passengers. Multiple casualties reported.,Highly Critical
High-speed bike crash into crowd on GT Road. 6 bystanders injured. Rider critically hurt and unconscious.,Highly Critical
"High-speed collision on Noida Expressway. Car crushed under truck. 7 people severely injured, immediate rescue needed.",Highly Critical
Minor collision at NH48 intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
Food delivery bike slipped on GT Road. Rider okay with helmet. Food spillage only. No traffic disruption.,Moderate
"Multi-vehicle collision on NH7. 9 people injured, 7 trapped in wreckage. Survivor reported screams from wreckage.",Highly Critical
Pedestrians hit by speeding truck on Airport Road. 14 people critically injured including children. Blood on road.,Highly Critical
Highway pileup of 15 cars on NH7 due to fog. 17 people injured across multiple vehicles.,Highly Critical
Electric scooter tipped over on Ahmedabad-Vadodara Expressway. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Bridge collapse on Industrial Area Road due to heavy vehicle overload. Multiple vehicles fallen. 22 people trapped below.,Highly Critical
Explosion at accident site on Outer Ring Road after fuel tanker collision. Fire spreading rapidly. 14 casualties.,Highly Critical
Construction crane collapsed on NH44 crushing 12 vehicles. 5 workers and drivers trapped.,Highly Critical
"Hit and run on NH44. Victim dragged 1400 meters. Critical injuries, massive internal bleeding.",Highly Critical
Electrical pole fell on vehicles on Outer Ring Road after accident. Live wires on ground. 9 electrocuted.,Highly Critical
Vehicle rolled backward slightly on NH48 slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Drunk driver crashed into bus stop on Noida Expressway. 15 people killed. Several more in critical condition.,Highly Critical
"Hit and run on Agra-Lucknow Expressway. Victim dragged 500 meters. Critical injuries, massive internal bleeding.",Highly Critical
Cement mixer overturned on Agra-Lucknow Expressway landing on a car. 21 people crushed. Heavy crane needed to lift.,Highly Critical
Electrical pole fell on vehicles on GT Road after accident. Live wires on ground. 13 electrocuted.,Highly Critical
"Fatal accident on Ring Road. Vehicle caught fire after collision. 16 dead, 8 people trapped.",Highly Critical
Learner driver stalled at Hosur Road signal. Car behind honked and lightly tapped. Zero damage. Learning moment.,Moderate
"School bus accident on Nagpur-Hyderabad Highway. Children trapped inside overturned bus. 25 injuries, parents rushing to scene.",Highly Critical
Highway pileup of 7 cars on NH44 due to fog. 4 people injured across multiple vehicles.,Highly Critical
Pedestrians hit by speeding truck on Bypass Road. 22 people critically injured including children. Blood on road.,Highly Critical
Major chemical spill from truck on Mumbai-Pune Expressway. Toxic fumes spreading. 5 people experiencing breathing difficulties.,Highly Critical
Minor accident at parking garage at Metro Station. Scraped pillar while turning. No other vehicle involved.,Moderate
Pedestrians hit by speeding truck on Agra-Lucknow Expressway. 11 people critically injured including children. Blood on road.,Highly Critical
Minor collision at Airport Road intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
Explosion at accident site on Delhi-Jaipur Highway after fuel tanker collision. Fire spreading rapidly. 11 casualties.,Highly Critical
Pedestrians hit by speeding truck on Chennai-Bangalore Highway. 20 people critically injured including children. Blood on road.,Highly Critical
Bridge collapse on Industrial Area Road due to heavy vehicle overload. Multiple vehicles fallen. 19 people trapped below.,Highly Critical
Minor bump between school van and wall at Railway Station. No children on board. Driver is fine.,Moderate
Building debris fell on Western Express Highway after accident impact. 15 vehicles buried. 15 trapped in rubble.,Highly Critical
Branch scratch on car roof on Nagpur-Hyderabad Highway. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
High-speed bike crash into crowd on Western Express Highway. 4 bystanders injured. Rider critically hurt and unconscious.,Highly Critical
Truck side-view mirror hit signboard on Mumbai-Pune Expressway. Mirror cracked. No other damage. Driver continued.,Moderate
Oil tanker fire on Outer Ring Road. Thick black smoke visible for miles. 14 firefighters also injured in rescue.,Highly Critical
"Two buses collided head-on at Industrial Area Road. 41 passengers on board. Massive casualties, ambulances needed.",Highly Critical
Water tanker brushed against parked car on NH7. Side panel scratch. No occupants in parked car.,Moderate
Multi-car collision in tunnel on Nagpur-Hyderabad Highway. Fire and smoke filling tunnel. 13 people unconscious from smoke.,Highly Critical
Taxi and auto minor touch at Yamuna Expressway corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
"Fatal accident on Hosur Road. Vehicle caught fire after collision. 10 dead, 4 people trapped.",Highly Critical
Ambulance carrying patients crashed on MG Road. 5 people now critical. Both original and new patients affected.,Highly Critical
Major landslide on Kolkata-Delhi Highway burying 5 vehicles. 9 people missing. Heavy rescue equipment needed.,Highly Critical
Head-on collision between truck and car on Bandra-Worli Sea Link. 4 critically injured. Fuel leaking from tanker.,Highly Critical
Small accident on Delhi-Jaipur Highway. Rear-end collision at traffic signal. Minor damage to bumpers. Drivers exchanging details.,Moderate
Small accident on Eastern Express Highway. Rear-end collision at traffic signal. Minor damage to bumpers. Drivers exchanging details.,Moderate
Auto-rickshaw and car minor scrape on Pune-Bangalore Highway. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
Gas tanker explosion on Pune-Bangalore Highway. Massive fire engulfing nearby vehicles. 7 feared dead. Evacuation underway.,Highly Critical
Minor accident at parking garage at Bus Terminal. Scraped pillar while turning. No other vehicle involved.,Moderate
Drunk driver crashed into bus stop on Airport Road. 19 people killed. Several more in critical condition.,Highly Critical
Auto-rickshaw and car minor scrape on Station Road. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
Truck overturned on Pune-Bangalore Highway spilling hazardous chemicals. Area evacuation in progress. 9 people affected.,Highly Critical
"High-speed collision on Noida Expressway. Car crushed under truck. 22 people severely injured, immediate rescue needed.",Highly Critical
Car went over speed bump too fast on Eastern Express Highway. Scraping sound underneath. No collision. Car seems fine.,Moderate
High-speed bike crash into crowd on Bandra-Worli Sea Link. 9 bystanders injured. Rider critically hurt and unconscious.,Highly Critical
Slow-speed rear-end hit at Bypass Road toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
"Two-wheeler slipped on wet GT Road. Rider wearing helmet, has minor bruises. Bike has cosmetic damage.",Moderate
Cement mixer overturned on Agra-Lucknow Expressway landing on a car. 22 people crushed. Heavy crane needed to lift.,Highly Critical
Cement mixer overturned on Agra-Lucknow Expressway landing on a car. 13 people crushed. Heavy crane needed to lift.,Highly Critical
Slow-speed rear-end hit at Mumbai-Pune Expressway toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
"Hit and run on Western Express Highway. Victim dragged 1400 meters. Critical injuries, massive internal bleeding.",Highly Critical
Highway pileup of 13 cars on MG Road due to fog. 19 people injured across multiple vehicles.,Highly Critical
Drunk driver crashed into bus stop on Ring Road. 17 people killed. Several more in critical condition.,Highly Critical
Major accident on Agra-Lucknow Expressway. Bus overturned carrying 29 passengers. Multiple casualties reported.,Highly Critical
Construction crane collapsed on Agra-Lucknow Expressway crushing 14 vehicles. 15 workers and drivers trapped.,Highly Critical
Small accident on Western Express Highway. Rear-end collision at traffic signal. Minor damage to bumpers. Drivers exchanging details.,Moderate
Motorcycle slid on gravel on NH48. Rider has road rash on arm. Helmet saved head. Rider walking.,Moderate
Car went over speed bump too fast on Western Express Highway. Scraping sound underneath. No collision. Car seems fine.,Moderate
Minor fender bender on Station Road. Two cars involved. No injuries reported. Traffic slightly affected.,Moderate
Ambulance carrying patients crashed on Pune-Bangalore Highway. 24 people now critical. Both original and new patients affected.,Highly Critical
Highway pileup of 15 cars on Kolkata-Delhi Highway due to fog. 21 people injured across multiple vehicles.,Highly Critical
Cyclist fell after hitting pothole on NH44. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
"Hit and run on Nagpur-Hyderabad Highway. Victim dragged 300 meters. Critical injuries, massive internal bleeding.",Highly Critical
Major chemical spill from truck on NH48. Toxic fumes spreading. 7 people experiencing breathing difficulties.,Highly Critical
"School bus accident on MG Road. Children trapped inside overturned bus. 15 injuries, parents rushing to scene.",Highly Critical
Vehicle hit a stray dog on Delhi-Jaipur Highway. Minor bumper damage. Animal ran away. Driver stopped to check.,Moderate
Car stalled and was lightly bumped from behind on NH48. No injuries. Mechanic called for tow.,Moderate
"School bus accident on Bypass Road. Children trapped inside overturned bus. 25 injuries, parents rushing to scene.",Highly Critical
"School bus accident on Delhi-Jaipur Highway. Children trapped inside overturned bus. 25 injuries, parents rushing to scene.",Highly Critical
Food delivery bike slipped on NH7. Rider okay with helmet. Food spillage only. No traffic disruption.,Moderate
Cement mixer overturned on Western Express Highway landing on a car. 13 people crushed. Heavy crane needed to lift.,Highly Critical
Bike skidded on NH48 due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
Truck overturned on Pune-Bangalore Highway spilling hazardous chemicals. Area evacuation in progress. 10 people affected.,Highly Critical
Cement mixer overturned on Western Express Highway landing on a car. 11 people crushed. Heavy crane needed to lift.,Highly Critical
Water tanker brushed against parked car on Station Road. Side panel scratch. No occupants in parked car.,Moderate
"Multi-vehicle collision on Mumbai-Pune Expressway. 12 people injured, 4 trapped in wreckage. Local hospitals overwhelmed, patients diverted.",Highly Critical
"Low-speed collision in traffic jam on GT Road. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Minor accident at parking garage at Bus Terminal. Scraped pillar while turning. No other vehicle involved.,Moderate
"Stampede triggered by accident on Industrial Area Road. 17 people trampled. Chaos at scene, crowd control needed.",Highly Critical
"Hit and run on GT Road. Victim dragged 500 meters. Critical injuries, massive internal bleeding.",Highly Critical
Severe accident on NH7. Vehicle rolled over multiple times. Passengers ejected. 24 in critical state.,Highly Critical
Branch scratch on car roof on Mumbai-Pune Expressway. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Electric scooter tipped over on Outer Ring Road. Rider unhurt but scooter has broken footrest. No collision.,Moderate
"Hit and run on Industrial Area Road. Victim dragged 1200 meters. Critical injuries, massive internal bleeding.",Highly Critical
Severe accident on Ahmedabad-Vadodara Expressway. Vehicle rolled over multiple times. Passengers ejected. 23 in critical state.,Highly Critical
"Fatal accident on Delhi-Jaipur Highway. Vehicle caught fire after collision. 24 dead, 4 people trapped.",Highly Critical
Vehicle rolled backward slightly on Industrial Area Road slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Minor accident at parking garage at City Mall. Scraped pillar while turning. No other vehicle involved.,Moderate
Bus grazed a bollard on Bandra-Worli Sea Link. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
Bike skidded on Nagpur-Hyderabad Highway due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
Branch scratch on car roof on NH44. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
High-speed bike crash into crowd on Delhi-Jaipur Highway. 21 bystanders injured. Rider critically hurt and unconscious.,Highly Critical
Building debris fell on Eastern Express Highway after accident impact. 14 vehicles buried. 6 trapped in rubble.,Highly Critical
Truck side-view mirror hit signboard on Agra-Lucknow Expressway. Mirror cracked. No other damage. Driver continued.,Moderate
"Two-wheeler slipped on wet MG Road. Rider wearing helmet, has minor bruises. Bike has cosmetic damage.",Moderate
Minor sideswipe between two cars on Noida Expressway. Paint transfer only. Both drivers walking and fine.,Moderate
Side mirror clipped on narrow NH7. Minor glass breakage. No injuries. Both parties cooperating.,Moderate
Tree branch fell on parked car at Station Road. Windshield cracked. No one inside. Owner filing insurance.,Moderate
Bridge collapse on Bypass Road due to heavy vehicle overload. Multiple vehicles fallen. 13 people trapped below.,Highly Critical
Vehicle hit a stray dog on Agra-Lucknow Expressway. Minor bumper damage. Animal ran away. Driver stopped to check.,Moderate
Auto-rickshaw and car minor scrape on Kolkata-Delhi Highway. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
Oil tanker fire on Agra-Lucknow Expressway. Thick black smoke visible for miles. 3 firefighters also injured in rescue.,Highly Critical
"Stampede triggered by accident on Nagpur-Hyderabad Highway. 5 people trampled. Chaos at scene, crowd control needed.",Highly Critical
Drunk driver crashed into bus stop on Bypass Road. 22 people killed. Several more in critical condition.,Highly Critical
Auto-rickshaw and car minor scrape on Industrial Area Road. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
Pedestrians hit by speeding truck on Hosur Road. 23 people critically injured including children. Blood on road.,Highly Critical
Minor collision at Hosur Road intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
Bike skidded on Eastern Express Highway due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
Cyclist fell after hitting pothole on Chennai-Bangalore Highway. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
"Low-speed collision in traffic jam on Agra-Lucknow Expressway. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Food delivery bike slipped on GT Road. Rider okay with helmet. Food spillage only. No traffic disruption.,Moderate
"Multi-vehicle collision on Airport Road. 5 people injured, 8 trapped in wreckage. Local hospitals overwhelmed, patients diverted.",Highly Critical
Water tanker brushed against parked car on NH48. Side panel scratch. No occupants in parked car.,Moderate
Car plunged off Mumbai-Pune Expressway into river below. 8 occupants. Divers needed for underwater rescue operation.,Highly Critical
Truck side-view mirror hit signboard on Mumbai-Pune Expressway. Mirror cracked. No other damage. Driver continued.,Moderate
"Fatal accident on Bandra-Worli Sea Link. Vehicle caught fire after collision. 9 dead, 3 people trapped.",Highly Critical
Ambulance carrying patients crashed on Mumbai-Pune Expressway. 20 people now critical. Both original and new patients affected.,Highly Critical
Truck side-view mirror hit signboard on Western Express Highway. Mirror cracked. No other damage. Driver continued.,Moderate
Taxi and auto minor touch at Delhi-Jaipur Highway corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
Pothole caused tire burst on GT Road. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Explosion at accident site on Industrial Area Road after fuel tanker collision. Fire spreading rapidly. 23 casualties.,Highly Critical
Motorcycle slid on gravel on Kolkata-Delhi Highway. Rider has road rash on arm. Helmet saved head. Rider walking.,Moderate
Slow-speed rear-end hit at NH48 toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Severe accident on Kolkata-Delhi Highway. Vehicle rolled over multiple times. Passengers ejected. 17 in critical state.,Highly Critical
"High-speed collision on Outer Ring Road. Car crushed under truck. 17 people severely injured, immediate rescue needed.",Highly Critical
Car stalled and was lightly bumped from behind on GT Road. No injuries. Mechanic called for tow.,Moderate
Major chemical spill from truck on Outer Ring Road. Toxic fumes spreading. 3 people experiencing breathing difficulties.,Highly Critical
"High-speed collision on Noida Expressway. Car crushed under truck. 14 people severely injured, immediate rescue needed.",Highly Critical
Slow-speed rear-end hit at Noida Expressway toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Water tanker brushed against parked car on Yamuna Expressway. Side panel scratch. No occupants in parked car.,Moderate
Cyclist fell after hitting pothole on Eastern Express Highway. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
Car plunged off Eastern Express Highway into river below. 18 occupants. Divers needed for underwater rescue operation.,Highly Critical
Slow-speed rear-end hit at Noida Expressway toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Bridge collapse on Bandra-Worli Sea Link due to heavy vehicle overload. Multiple vehicles fallen. 23 people trapped below.,Highly Critical
Pothole caused tire burst on Nagpur-Hyderabad Highway. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Truck side-view mirror hit signboard on NH48. Mirror cracked. No other damage. Driver continued.,Moderate
Pedestrians hit by speeding truck on Eastern Express Highway. 4 people critically injured including children. Blood on road.,Highly Critical
Auto-rickshaw and car minor scrape on GT Road. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
"Two buses collided head-on at Eastern Express Highway. 58 passengers on board. Massive casualties, ambulances needed.",Highly Critical
Gas tanker explosion on Airport Road. Massive fire engulfing nearby vehicles. 20 feared dead. Evacuation underway.,Highly Critical
"High-speed collision on Mumbai-Pune Expressway. Car crushed under truck. 5 people severely injured, immediate rescue needed.",Highly Critical
Slow-speed rear-end hit at Ring Road toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Cyclist fell after hitting pothole on Ahmedabad-Vadodara Expressway. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
Motorcycle slid on gravel on NH48. Rider has road rash on arm. Helmet saved head. Rider walking.,Moderate
Car plunged off Bypass Road into river below. 4 occupants. Divers needed for underwater rescue operation.,Highly Critical
Side mirror clipped on narrow Station Road. Minor glass breakage. No injuries. Both parties cooperating.,Moderate
Side mirror clipped on narrow Industrial Area Road. Minor glass breakage. No injuries. Both parties cooperating.,Moderate
Massive pile-up involving 4 vehicles on NH48. Visibility was poor. Emergency services needed urgently.,Highly Critical
"Two-wheeler slipped on wet Eastern Express Highway. Rider wearing helmet, has minor bruises. Bike has cosmetic damage.",Moderate
"School bus accident on NH48. Children trapped inside overturned bus. 15 injuries, parents rushing to scene.",Highly Critical
"Multi-vehicle collision on Yamuna Expressway. 14 people injured, 5 trapped in wreckage. Army called for assistance.",Highly Critical
Cyclist fell after hitting pothole on Eastern Express Highway. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
"School bus accident on Chennai-Bangalore Highway. Children trapped inside overturned bus. 19 injuries, parents rushing to scene.",Highly Critical
